chamber_pressure_bar,temperature_K,rpm,fuel_flow_kg_s,vibration_mm_s
98.48276584418531,3804,28466,243.5,2.75
98.35480060155817,3792,28428,243.8,2.71
98.30709394050268,3806,28416,242.6,2.68
98.31943448864038,3788,28373,243.5,2.53
98.88018630837696,3773,28468,245.4,2.67
98.0865479314889,3793,28478,244.8,2.77
98.60175348875526,3788,28455,243.4,2.75
98.17070265672722,3784,28393,245.2,2.71
98.61368263202009,3766,28310,244.9,2.57
98.61522429104608,3770,28206,243.6,2.69
98.85971836237572,3767,28313,243.9,2.83
98.83948802629425,3765,28429,242.3,2.89
99.17064401187969,3779,28464,241.5,2.76
98.66301495478181,3798,28387,240.4,2.86
99.17205710149922,3791,28239,241.7,2.74
98.43678491540541,3796,28210,243.1,2.77
98.36014367001576,3780,28161,243.0,2.65
98.52605596934525,3800,28221,243.0,2.61
98.4518555477897,3819,28270,244.1,2.79
98.80609967834842,3805,28281,245.1,2.94
98.0369272783409,3815,28277,244.3,2.78
98.13197022253753,3802,28363,245.3,2.8
97.82304281956921,3817,28239,246.9,2.65
97.56768445394975,3835,28313,247.2,2.73
97.91316899661115,3822,28221,246.3,2.6
98.04292516100058,3833,28217,245.4,2.47
98.56067940200184,3828,28295,246.9,2.38
98.60317416780711,3829,28239,245.3,2.29
99.31380261029052,3829,28105,243.8,2.18
98.95561288216159,3827,28204,245.4,2.27
99.71006806664693,3826,28102,246.1,2.37
99.06243553608755,3831,28156,247.0,2.23
99.73533261447137,3816,28071,248.3,2.14
100.4347469076575,3828,28101,249.5,2.31
99.7942196152264,3835,28036,248.6,2.32
99.41869562201062,3827,28173,249.1,2.15
99.02282600838224,3825,28052,249.0,2.31
99.24667926366718,3831,28000,247.9,2.12
98.81640822691251,3841,27874,246.4,2.03
98.37948649507112,3853,27910,247.3,1.91
97.92059995479121,3850,28015,246.7,1.81
97.87147931880601,3851,27930,248.2,1.78
98.64440314939321,3841,27801,248.9,1.68
99.25193149353542,3855,27657,248.8,1.83
99.63411692828885,3844,27565,249.0,1.9
99.1364227446303,3828,27563,249.7,1.72
99.12158358027783,3816,27450,249.2,1.54
98.51979911002981,3807,27365,249.0,1.7
98.69375270408855,3798,27476,250.2,1.58
98.90213668432777,3788,27441,250.7,1.4
99.62742446876842,3778,27410,250.3,1.24
100.30442064828027,3797,27556,250.2,1.11
100.8300113773783,3791,27458,250.1,1.08
101.48466996892775,3804,27477,250.8,0.91
101.9970218903439,3807,27477,250.6,0.81
101.89721881451415,3816,27576,248.3,0.96
101.78439750415134,3810,27617,247.1,1.14
102.40210420659741,3827,27495,247.2,1.2
102.40441551614285,3847,27519,248.6,1.25
103.19015103046212,3851,27419,249.2,1.44
103.09528478363038,3834,27563,248.4,1.25
102.34748727786804,3841,27460,249.6,1.17
101.65989338656738,3848,27500,249.2,1.12
101.66883845459219,3864,27452,248.2,1.15
102.44179880276909,3877,27393,246.1,1.03
102.01494369539914,3877,27403,247.1,0.99
102.03137624078278,3888,27505,246.9,0.87
102.31036367453078,3899,27590,248.1,1.04
103.01434962684725,3899,27625,248.8,1.2
103.47153635515937,3900,27674,250.0,1.31
103.58887696329715,3881,27632,251.3,1.34
103.02512358671976,3897,27677,251.9,1.39
102.96977156792896,3900,27800,249.6,1.56
103.09950437337892,3885,27772,250.8,1.73
102.90707051718897,3894,27711,250.1,1.76
103.10463890520037,3897,27572,250.2,1.82
103.37421337217535,3900,27491,251.4,1.75
103.6310703108241,3885,27556,250.8,1.65
102.97287284156587,3873,27511,249.1,1.84
103.61674666567622,3860,27538,247.3,1.72
103.4940565274236,3864,27496,248.4,1.84
103.34034887107546,3873,27486,246.9,1.79
103.4016037122943,3856,27404,247.9,1.66
102.854268710239,3841,27430,249.1,1.63
102.66910228697543,3852,27563,248.2,1.51
102.98070062391261,3852,27698,249.3,1.31
102.45537189488928,3859,27743,248.5,1.44
102.4307138466299,3877,27723,248.3,1.43
102.96312441267101,3890,27826,248.4,1.49
102.64229675776716,3874,27847,248.2,1.67
103.11517361872399,3878,27896,247.9,1.58
102.7973106325685,3862,27843,246.4,1.67
102.44618504324252,3870,27838,246.6,1.58
103.07133316428622,3863,27918,247.4,1.68
102.89437671925296,3880,27946,248.4,1.71
103.51475894854602,3861,27834,248.0,1.87
103.74987509543735,3861,27749,249.2,1.91
104.42583706496323,3875,27658,247.6,1.87
105.03178371216157,3889,27736,246.8,2.0
104.8830707684748,3900,27884,246.3,2.0
105.4447007981828,3885,27941,246.1,1.83
105.4522051594431,3880,27960,244.3,2.0
105.91647037643267,3874,27863,243.2,2.05
106.67238323233393,3854,27855,244.8,1.86
106.28514932540683,3835,27872,245.2,1.68
106.8227335935593,3816,27879,245.5,1.56
106.2770002388734,3816,27864,246.9,1.59
105.93107384903392,3821,27901,246.6,1.76
105.19186673510995,3839,27930,247.2,1.59
105.24428883260993,3829,28015,247.0,1.41
105.73480984979393,3822,28098,246.7,1.35
106.04691895873108,3802,28105,247.6,1.46
105.44607187092365,3804,28245,247.3,1.3
105.36848805449793,3806,28380,245.9,1.12
104.82318504648352,3794,28526,244.4,1.02
104.48870260342234,3790,28524,244.5,0.86
103.92020496721037,3805,28525,243.7,0.99
103.93002573785104,3820,28666,242.2,1.18
103.69094269042574,3834,28518,242.2,1.35
103.71807051471224,3826,28541,243.0,1.37
103.45594115626649,3843,28545,242.2,1.24
103.67883697651665,3842,28556,243.4,1.05
103.73737649212131,3837,28449,244.5,1.02
103.38084668030103,3831,28540,245.7,1.08
102.74762022684614,3833,28392,246.9,1.08
102.02868344370643,3843,28333,248.1,1.1
101.92995031224741,3858,28338,248.2,1.26
102.2646142198486,3868,28239,248.7,1.34
102.21105671186166,3885,28266,249.6,1.41
102.43245510233857,3866,28169,249.6,1.55
102.80298167737433,3862,28246,250.0,1.72
102.16621017887135,3867,28331,250.6,1.86
101.6419215897314,3871,28185,251.3,1.71
101.00236453506976,3861,28297,249.2,1.55
